date,product_id,amount,buyer,seller,price,discount,total,update_timestamp,deal_id
2012-01-02,9601,7033,3443,4494,74512.58754079673,0.7797715272759717,16409.793352825123,2021-09-06 18:49:24.716656,id0
2007-10-17,6715,4769,8103,6772,72201.18177608537,0.3620739317456909,46059.01601373282,2021-09-06 18:49:24.716656,id1
2001-07-04,9266,5279,1275,219,81721.67888981214,0.7315074939487842,21941.658363838396,2021-09-06 18:49:24.716656,id2
2002-03-14,3963,4598,3445,4627,84279.4923302105,0.016356863074662553,82900.94421416317,2021-09-06 18:49:24.716656,id3
2003-04-01,9165,9025,5354,4878,2123.2134478124553,0.21167297170183885,1673.7865477566856,2021-09-06 18:49:24.716656,id4
2020-07-27,7790,5406,3086,5249,23738.785862881407,0.5298863546345948,11159.927158547926,2021-09-06 18:49:24.716656,id5
2008-09-13,3476,3197,4402,9578,56595.94178005109,0.8969759053881371,5830.745660595465,2021-09-06 18:49:24.716656,id6
2011-05-16,681,5193,6780,9753,68858.4180273919,0.8527340775295422,10140.49845066027,2021-09-06 18:49:24.716656,id7
2012-08-09,9657,5856,5149,4262,31945.141614151205,0.17398132861410132,26387.283433355562,2021-09-06 18:49:24.716656,id8
2006-02-17,9468,4876,8665,9754,96348.80684992234,0.7191285027139633,27061.63364166084,2021-09-06 18:49:24.716656,id9
2006-02-26,9757,5866,8521,6371,36158.63087962392,0.4756166347558477,18960.98454327831,2021-09-06 18:49:24.716656,id10
2009-08-25,336,4945,9049,7817,25647.154575056564,0.5152434992976785,12432.624904775954,2021-09-06 18:49:24.716656,id11
2008-08-24,7542,4857,8592,4832,82448.9157011429,0.42869426483313167,47103.538398352604,2021-09-06 18:49:24.716656,id12
2015-08-13,5661,7071,2645,2262,70045.33088911121,0.41126897490861214,41237.8594572119,2021-09-06 18:49:24.716656,id13
2000-10-01,2933,2775,6943,4624,66036.60279146128,0.623561943258183,24858.69042864893,2021-09-06 18:49:24.716656,id14
2008-08-19,1316,6284,3476,4544,71242.15945847744,0.8505858043384821,10644.589952678005,2021-09-06 18:49:24.716656,id15
2013-04-16,7163,3553,9454,8121,86855.76131461028,0.1956420851003362,69863.11906804281,2021-09-06 18:49:24.716656,id16
2013-06-17,1367,6465,2756,6568,91911.80622010602,0.7878318002268992,19500.76246361398,2021-09-06 18:49:24.716656,id17
2000-03-14,5252,538,9967,2875,60587.952830687755,0.7576855061916125,14681.339121054567,2021-09-06 18:49:24.716656,id18
2018-04-06,2324,9282,5241,4734,84249.58148675945,0.32104091414184,57202.01883018276,2021-09-06 18:49:24.716656,id19
2007-01-10,549,3898,2067,6070,99441.64101090333,0.6833977391487894,31483.44836680645,2021-09-06 18:49:24.716656,id20
2009-07-11,2793,1340,2080,9716,60226.29332088092,0.8642788137600346,8173.983972346068,2021-09-06 18:49:24.716656,id21
2015-06-25,3957,3606,8511,7003,77802.7043381599,0.03653528869208189,74960.16007414054,2021-09-06 18:49:24.716656,id22
2000-11-20,3248,4927,2308,9647,91565.71585479502,0.5994167503361426,36679.69201491118,2021-09-06 18:49:24.716656,id23
2020-04-15,7269,3440,6073,5907,69925.0041667342,0.8257730701993751,12182.818792266007,2021-09-06 18:49:24.716656,id24
2018-11-27,574,132,1026,6519,73106.54323560416,0.3773263368887202,45521.519073916796,2021-09-06 18:49:24.716656,id25
2015-07-06,5586,4485,7222,1889,25930.340525109674,0.5278215214027706,12243.748738654367,2021-09-06 18:49:24.716656,id26
2000-08-23,7247,1147,7849,82,56198.732469724324,0.32953683123017097,37679.18025249925,2021-09-06 18:49:24.716656,id27
2014-09-23,4646,7687,9301,8271,8230.427787758454,0.2316484767873589,6323.861727415856,2021-09-06 18:49:24.716656,id28
2007-10-14,7581,3483,883,3564,64668.785988771146,0.6122703461839887,25074.006004127958,2021-09-06 18:49:24.716656,id29
2012-06-22,6383,2304,9218,4732,36213.45692805129,0.494460899030537,18307.318458403417,2021-09-06 18:49:24.716656,id30
2011-01-13,4149,742,5652,4692,22199.65052412185,0.9240295610463315,1686.5171949355754,2021-09-06 18:49:24.716656,id31
2015-06-11,5421,9355,2517,8099,81870.89131160844,0.16223071753396923,68588.9178689806,2021-09-06 18:49:24.716656,id32
2009-10-22,2944,5695,5384,6903,71321.80006513413,0.12134606403198345,62667.180347554044,2021-09-06 18:49:24.716656,id33
2000-10-18,1036,1134,7405,7644,72991.99235944629,0.5300283689522635,34304.165702592894,2021-09-06 18:49:24.716656,id34
2017-09-02,3604,5501,2497,2342,76347.57095906622,0.818392563913865,13865.286613280281,2021-09-06 18:49:24.716656,id35
2011-09-19,6927,414,2146,4429,9117.546505965147,0.1403912947774777,7837.522346798833,2021-09-06 18:49:24.716656,id36
2012-10-07,9589,4737,3309,4273,22886.786120329038,0.9818506075870559,415.3812623689737,2021-09-06 18:49:24.716656,id37
2000-07-15,863,395,1441,3251,47880.39940119209,0.9948295279952046,247.56426468228165,2021-09-06 18:49:24.716656,id38
2014-07-04,3340,6895,7310,6872,29109.699034848814,0.8950873580665742,3053.9754316328836,2021-09-06 18:49:24.716656,id39
2011-04-23,4864,7362,624,4621,85240.15816592348,0.4740475803999231,44832.26743446071,2021-09-06 18:49:24.716656,id40
2020-11-06,8195,3241,2269,8366,12726.12995073088,0.6173794578167666,4869.278741642935,2021-09-06 18:49:24.716656,id41
2008-01-05,3936,8721,5858,8038,49629.90025766048,0.19242137021725558,40080.046846335725,2021-09-06 18:49:24.716656,id42
2010-10-11,5240,1250,1664,853,85815.66162032016,0.9089898549418186,7810.095812329149,2021-09-06 18:49:24.716656,id43
2007-10-17,4846,3216,4869,8908,16364.288837770391,0.18240442434348458,13379.370152526373,2021-09-06 18:49:24.716656,id44
2015-01-15,4193,8190,4114,6566,44970.23232379721,0.16275694692647236,37651.01460820182,2021-09-06 18:49:24.716656,id45
2019-07-01,5055,4073,502,9039,51198.83514782038,0.6456260808999589,18143.53186469004,2021-09-06 18:49:24.716656,id46
2011-05-20,3980,8928,4383,5641,74447.60012203113,0.5789820432780317,31343.776486231705,2021-09-06 18:49:24.716656,id47
